Date	ISM_Manufacturing_Index	ISM_Manufacturing_Index_50
1/31/1948	51.7	1.7
2/29/1948	50.2	0.2
3/31/1948	43.3	-6.7
4/30/1948	45.4	-4.6
5/31/1948	49.5	-0.5
6/30/1948	53	3
7/31/1948	48.4	-1.6
8/31/1948	45.1	-4.9
9/30/1948	42.1	-7.9
10/31/1948	47.2	-2.8
11/30/1948	42.4	-7.6
12/31/1948	35	-15
1/31/1949	32.9	-17.1
2/28/1949	31.3	-18.7
3/31/1949	34.5	-15.5
4/30/1949	35.5	-14.5
5/31/1949	32.6	-17.4
6/30/1949	31.6	-18.4
7/31/1949	39	-11
8/31/1949	47	-3
9/30/1949	52.3	2.3
10/31/1949	51	1
11/30/1949	51	1
12/31/1949	57.3	7.3
1/31/1950	59.1	9.1
2/28/1950	60.5	10.5
3/31/1950	62.1	12.1
4/30/1950	68.1	18.1
5/31/1950	74.7	24.7
6/30/1950	76.6	26.6
7/31/1950	77.5	27.5
8/31/1950	75.8	25.8
9/30/1950	68.1	18.1
10/31/1950	59.2	9.2
11/30/1950	63.1	13.1
12/31/1950	67.1	17.1
1/31/1951	67.8	17.8
2/28/1951	69.3	19.3
3/31/1951	65.5	15.5
4/30/1951	53.5	3.5
5/31/1951	50.7	0.7
6/30/1951	45.5	-4.5
7/31/1951	42.1	-7.9
8/31/1951	43.6	-6.4
9/30/1951	48.1	-1.9
10/31/1951	49.6	-0.4
11/30/1951	47.2	-2.8
12/31/1951	46.5	-3.5
1/31/1952	44.7	-5.3
2/29/1952	41.8	-8.2
3/31/1952	40	-10
4/30/1952	36.7	-13.3
5/31/1952	39.5	-10.5
6/30/1952	43.3	-6.7
7/31/1952	48.3	-1.7
8/31/1952	60.4	10.4
9/30/1952	56.1	6.1
10/31/1952	56.2	6.2
11/30/1952	56.8	6.8
12/31/1952	55.8	5.8
1/31/1953	59.4	9.4
2/28/1953	55.4	5.4
3/31/1953	50.5	0.5
4/30/1953	51.1	1.1
5/31/1953	48.9	-1.1
6/30/1953	48.5	-1.5
7/31/1953	46.3	-3.7
8/31/1953	43.5	-6.5
9/30/1953	40.2	-9.8
10/31/1953	37.4	-12.6
11/30/1953	36.9	-13.1
12/31/1953	35.6	-14.4
1/31/1954	37.4	-12.6
2/28/1954	40.7	-9.3
3/31/1954	44.7	-5.3
4/30/1954	47.7	-2.3
5/31/1954	50.1	0.1
6/30/1954	52.1	2.1
7/31/1954	51.7	1.7
8/31/1954	54.4	4.4
9/30/1954	53.5	3.5
10/31/1954	58.2	8.2
11/30/1954	58.8	8.8
12/31/1954	63.8	13.8
1/31/1955	63	13
2/28/1955	67.8	17.8
3/31/1955	67.5	17.5
4/30/1955	68.7	18.7
5/31/1955	69.5	19.5
6/30/1955	63.3	13.3
7/31/1955	66.2	16.2
8/31/1955	64.8	14.8
9/30/1955	62.4	12.4
10/31/1955	63.7	13.7
11/30/1955	62	12
12/31/1955	65.6	15.6
1/31/1956	60.2	10.2
2/29/1956	58.2	8.2
3/31/1956	57.2	7.2
4/30/1956	55.9	5.9
5/31/1956	51.2	1.2
6/30/1956	47.7	-2.3
7/31/1956	44.2	-5.8
8/31/1956	51.5	1.5
9/30/1956	55.5	5.5
10/31/1956	52.7	2.7
11/30/1956	55	5
12/31/1956	52.7	2.7
1/31/1957	53.6	3.6
2/28/1957	51	1
3/31/1957	47.5	-2.5
4/30/1957	43.1	-6.9
5/31/1957	43.4	-6.6
6/30/1957	45.9	-4.1
7/31/1957	45.7	-4.3
8/31/1957	45.3	-4.7
9/30/1957	45.8	-4.2
10/31/1957	41.1	-8.9
11/30/1957	40.4	-9.6
12/31/1957	36.8	-13.2
1/31/1958	33.4	-16.6
2/28/1958	37.2	-12.8
3/31/1958	39.8	-10.2
4/30/1958	39.1	-10.9
5/31/1958	46.6	-3.4
6/30/1958	51.4	1.4
7/31/1958	54.7	4.7
8/31/1958	57.3	7.3
9/30/1958	59.8	9.8
10/31/1958	62.3	12.3
11/30/1958	62.7	12.7
12/31/1958	60.5	10.5
1/31/1959	64.4	14.4
2/28/1959	66.9	16.9
3/31/1959	67.1	17.1
4/30/1959	66.9	16.9
5/31/1959	68.2	18.2
6/30/1959	64.4	14.4
7/31/1959	61.5	11.5
8/31/1959	55.1	5.1
9/30/1959	48.3	-1.7
10/31/1959	49.7	-0.3
11/30/1959	50.6	0.6
12/31/1959	58.2	8.2
1/31/1960	61.5	11.5
2/29/1960	52.3	2.3
3/31/1960	47.8	-2.2
4/30/1960	45.3	-4.7
5/31/1960	42.6	-7.4
6/30/1960	44.4	-5.6
7/31/1960	43.7	-6.3
8/31/1960	47.6	-2.4
9/30/1960	45.4	-4.6
10/31/1960	46	-4
11/30/1960	44.3	-5.7
12/31/1960	44.3	-5.7
1/31/1961	43.9	-6.1
2/28/1961	43.6	-6.4
3/31/1961	49.1	-0.9
4/30/1961	57.6	7.6
5/31/1961	58.9	8.9
6/30/1961	58.1	8.1
7/31/1961	58.2	8.2
8/31/1961	60.7	10.7
9/30/1961	63	13
10/31/1961	62.2	12.2
11/30/1961	59	9
12/31/1961	64.2	14.2
1/31/1962	60.9	10.9
2/28/1962	61.1	11.1
3/31/1962	60.6	10.6
4/30/1962	55.1	5.1
5/31/1962	52.2	2.2
6/30/1962	50.8	0.8
7/31/1962	51	1
8/31/1962	49.5	-0.5
9/30/1962	50	0
10/31/1962	51.2	1.2
11/30/1962	53.8	3.8
12/31/1962	57.2	7.2
1/31/1963	55.2	5.2
2/28/1963	55.1	5.1
3/31/1963	54.7	4.7
4/30/1963	57.6	7.6
5/31/1963	59.8	9.8
6/30/1963	58.2	8.2
7/31/1963	55.5	5.5
8/31/1963	55.1	5.1
9/30/1963	56.9	6.9
10/31/1963	57.7	7.7
11/30/1963	57.5	7.5
12/31/1963	54	4
1/31/1964	57.1	7.1
2/29/1964	57.9	7.9
3/31/1964	60.2	10.2
4/30/1964	59.2	9.2
5/31/1964	58.7	8.7
6/30/1964	60.1	10.1
7/31/1964	62.9	12.9
8/31/1964	63.3	13.3
9/30/1964	63.3	13.3
10/31/1964	60.7	10.7
11/30/1964	61.8	11.8
12/31/1964	62.4	12.4
1/31/1965	61	11
2/28/1965	62.1	12.1
3/31/1965	64.9	14.9
4/30/1965	62	12
5/31/1965	61.3	11.3
6/30/1965	58.7	8.7
7/31/1965	58.1	8.1
8/31/1965	58.1	8.1
9/30/1965	61	11
10/31/1965	58.6	8.6
11/30/1965	59.4	9.4
12/31/1965	62.8	12.8
1/31/1966	65.8	15.8
2/28/1966	65.5	15.5
3/31/1966	65.7	15.7
4/30/1966	64.2	14.2
5/31/1966	57.7	7.7
6/30/1966	59	9
7/31/1966	60.3	10.3
8/31/1966	58.5	8.5
9/30/1966	58.7	8.7
10/31/1966	57.2	7.2
11/30/1966	53.7	3.7
12/31/1966	52.4	2.4
1/31/1967	49.1	-0.9
2/28/1967	47.6	-2.4
3/31/1967	45.3	-4.7
4/30/1967	42.8	-7.2
5/31/1967	44.5	-5.5
6/30/1967	46.8	-3.2
7/31/1967	49.5	-0.5
8/31/1967	52.2	2.2
9/30/1967	54.9	4.9
10/31/1967	54.1	4.1
11/30/1967	54.2	4.2
12/31/1967	55.6	5.6
1/31/1968	56.6	6.6
2/29/1968	55	5
3/31/1968	53.8	3.8
4/30/1968	58	8
5/31/1968	55.3	5.3
6/30/1968	53.5	3.5
7/31/1968	54.1	4.1
8/31/1968	52.7	2.7
9/30/1968	51.8	1.8
10/31/1968	55.8	5.8
11/30/1968	58.1	8.1
12/31/1968	56.1	6.1
1/31/1969	54.9	4.9
2/28/1969	57	7
3/31/1969	57.1	7.1
4/30/1969	55.2	5.2
5/31/1969	56.7	6.7
6/30/1969	55.5	5.5
7/31/1969	53.1	3.1
8/31/1969	54.8	4.8
9/30/1969	54.1	4.1
10/31/1969	54.6	4.6
11/30/1969	53.2	3.2
12/31/1969	52	2
1/31/1970	48.7	-1.3
2/28/1970	47.4	-2.6
3/31/1970	46.9	-3.1
4/30/1970	45	-5
5/31/1970	47.2	-2.8
6/30/1970	51.1	1.1
7/31/1970	49.5	-0.5
8/31/1970	47.3	-2.7
9/30/1970	44.1	-5.9
10/31/1970	42.4	-7.6
11/30/1970	39.7	-10.3
12/31/1970	45.4	-4.6
1/31/1971	47.9	-2.1
2/28/1971	54.8	4.8
3/31/1971	51.2	1.2
4/30/1971	54.5	4.5
5/31/1971	54.2	4.2
6/30/1971	53.8	3.8
7/31/1971	54.4	4.4
8/31/1971	53.6	3.6
9/30/1971	55.1	5.1
10/31/1971	55	5
11/30/1971	52.3	2.3
12/31/1971	57.6	7.6
1/31/1972	59.6	9.6
2/29/1972	60.6	10.6
3/31/1972	59.8	9.8
4/30/1972	59.3	9.3
5/31/1972	61.4	11.4
6/30/1972	58.6	8.6
7/31/1972	60.1	10.1
8/31/1972	61.7	11.7
9/30/1972	65.1	15.1
10/31/1972	67	17
11/30/1972	69.9	19.9
12/31/1972	70.5	20.5
1/31/1973	72.1	22.1
2/28/1973	69.6	19.6
3/31/1973	69.6	19.6
4/30/1973	67.7	17.7
5/31/1973	64.8	14.8
6/30/1973	65	15
7/31/1973	57.8	7.8
8/31/1973	62.7	12.7
9/30/1973	63.5	13.5
10/31/1973	66.2	16.2
11/30/1973	68.1	18.1
12/31/1973	63.6	13.6
1/31/1974	62.1	12.1
2/28/1974	58.6	8.6
3/31/1974	61.8	11.8
4/30/1974	59.9	9.9
5/31/1974	55.7	5.7
6/30/1974	54.7	4.7
7/31/1974	54.8	4.8
8/31/1974	52.9	2.9
9/30/1974	46.2	-3.8
10/31/1974	42.7	-7.3
11/30/1974	37.9	-12.1
12/31/1974	30.9	-19.1
1/31/1975	30.7	-19.3
2/28/1975	34.4	-15.6
3/31/1975	31.6	-18.4
4/30/1975	37.5	-12.5
5/31/1975	41.2	-8.8
6/30/1975	45.1	-4.9
7/31/1975	47.2	-2.8
8/31/1975	51.4	1.4
9/30/1975	54.4	4.4
10/31/1975	55.5	5.5
11/30/1975	54.5	4.5
12/31/1975	54.9	4.9
1/31/1976	58.8	8.8
2/29/1976	61.5	11.5
3/31/1976	58.4	8.4
4/30/1976	60.6	10.6
5/31/1976	58.8	8.8
6/30/1976	58.2	8.2
7/31/1976	55.9	5.9
8/31/1976	54.5	4.5
9/30/1976	53.6	3.6
10/31/1976	53.5	3.5
11/30/1976	51.7	1.7
12/31/1976	56.6	6.6
1/31/1977	54.8	4.8
2/28/1977	55	5
3/31/1977	58.4	8.4
4/30/1977	56.9	6.9
5/31/1977	59.7	9.7
6/30/1977	56.8	6.8
7/31/1977	57.7	7.7
8/31/1977	54.9	4.9
9/30/1977	53.9	3.9
10/31/1977	55.4	5.4
11/30/1977	56.1	6.1
12/31/1977	59.8	9.8
1/31/1978	57.4	7.4
2/28/1978	55.9	5.9
3/31/1978	55	5
4/30/1978	57.7	7.7
5/31/1978	60.2	10.2
6/30/1978	60.5	10.5
7/31/1978	62.2	12.2
8/31/1978	60.3	10.3
9/30/1978	60.5	10.5
10/31/1978	60.1	10.1
11/30/1978	61.3	11.3
12/31/1978	59.4	9.4
1/31/1979	58.5	8.5
2/28/1979	58.2	8.2
3/31/1979	57.7	7.7
4/30/1979	56.2	6.2
5/31/1979	54.4	4.4
6/30/1979	52.7	2.7
7/31/1979	51.3	1.3
8/31/1979	49.5	-0.5
9/30/1979	49.6	-0.4
10/31/1979	49	-1
11/30/1979	48	-2
12/31/1979	44.8	-5.2
1/31/1980	46.2	-3.8
2/29/1980	50.2	0.2
3/31/1980	43.6	-6.4
4/30/1980	37.4	-12.6
5/31/1980	29.4	-20.6
6/30/1980	30.3	-19.7
7/31/1980	35	-15
8/31/1980	45.5	-4.5
9/30/1980	50.1	0.1
10/31/1980	55.5	5.5
11/30/1980	58.2	8.2
12/31/1980	53	3
1/31/1981	49.2	-0.8
2/28/1981	48.8	-1.2
3/31/1981	49.6	-0.4
4/30/1981	51.6	1.6
5/31/1981	53.5	3.5
6/30/1981	50.7	0.7
7/31/1981	46.7	-3.3
8/31/1981	48.3	-1.7
9/30/1981	42.5	-7.5
10/31/1981	40	-10
11/30/1981	36.1	-13.9
12/31/1981	37.8	-12.2
1/31/1982	38.2	-11.8
2/28/1982	38.3	-11.7
3/31/1982	36.8	-13.2
4/30/1982	37.8	-12.2
5/31/1982	35.5	-14.5
6/30/1982	38.3	-11.7
7/31/1982	38.4	-11.6
8/31/1982	38.3	-11.7
9/30/1982	38.8	-11.2
10/31/1982	39.4	-10.6
11/30/1982	39.2	-10.8
12/31/1982	42.8	-7.2
1/31/1983	46	-4
2/28/1983	54.4	4.4
3/31/1983	53.9	3.9
4/30/1983	54.2	4.2
5/31/1983	56.1	6.1
6/30/1983	57.5	7.5
7/31/1983	63.6	13.6
8/31/1983	63.1	13.1
9/30/1983	62.5	12.5
10/31/1983	64.4	14.4
11/30/1983	66	16
12/31/1983	69.9	19.9
1/31/1984	60.5	10.5
2/29/1984	61.3	11.3
3/31/1984	58.9	8.9
4/30/1984	61	11
5/31/1984	58.6	8.6
6/30/1984	58.1	8.1
7/31/1984	56.1	6.1
8/31/1984	53	3
9/30/1984	50	0
10/31/1984	50.8	0.8
11/30/1984	50.3	0.3
12/31/1984	50.6	0.6
1/31/1985	50.3	0.3
2/28/1985	49.9	-0.1
3/31/1985	47.8	-2.2
4/30/1985	48.2	-1.8
5/31/1985	47.1	-2.9
6/30/1985	47.8	-2.2
7/31/1985	47.9	-2.1
8/31/1985	47.7	-2.3
9/30/1985	49.9	-0.1
10/31/1985	50.9	0.9
11/30/1985	52	2
12/31/1985	50.7	0.7
1/31/1986	51.2	1.2
2/28/1986	51	1
3/31/1986	51	1
4/30/1986	49.7	-0.3
5/31/1986	53.4	3.4
6/30/1986	50.5	0.5
7/31/1986	48	-2
8/31/1986	52.6	2.6
9/30/1986	52.4	2.4
10/31/1986	51.2	1.2
11/30/1986	51.2	1.2
12/31/1986	50.5	0.5
1/31/1987	54.9	4.9
2/28/1987	52.6	2.6
3/31/1987	55	5
4/30/1987	55.5	5.5
5/31/1987	57.2	7.2
6/30/1987	57.4	7.4
7/31/1987	57.5	7.5
8/31/1987	59.3	9.3
9/30/1987	60	10
10/31/1987	60.7	10.7
11/30/1987	58.8	8.8
12/31/1987	61	11
1/31/1988	57.5	7.5
2/29/1988	56.2	6.2
3/31/1988	54.6	4.6
4/30/1988	55.8	5.8
5/31/1988	55.5	5.5
6/30/1988	59.3	9.3
7/31/1988	58.2	8.2
8/31/1988	56	6
9/30/1988	54.5	4.5
10/31/1988	55.4	5.4
11/30/1988	55.6	5.6
12/31/1988	56	6
1/31/1989	54.7	4.7
2/28/1989	54.1	4.1
3/31/1989	51.5	1.5
4/30/1989	52.2	2.2
5/31/1989	49.3	-0.7
6/30/1989	47.3	-2.7
7/31/1989	45.9	-4.1
8/31/1989	45.1	-4.9
9/30/1989	46	-4
10/31/1989	46.8	-3.2
11/30/1989	46.8	-3.2
12/31/1989	47.4	-2.6
1/31/1990	47.2	-2.8
2/28/1990	49.1	-0.9
3/31/1990	49.9	-0.1
4/30/1990	50	0
5/31/1990	49.5	-0.5
6/30/1990	49.2	-0.8
7/31/1990	46.6	-3.4
8/31/1990	46.1	-3.9
9/30/1990	44.5	-5.5
10/31/1990	43.2	-6.8
11/30/1990	41.3	-8.7
12/31/1990	40.8	-9.2
1/31/1991	39.2	-10.8
2/28/1991	39.4	-10.6
3/31/1991	40.7	-9.3
4/30/1991	42.8	-7.2
5/31/1991	44.5	-5.5
6/30/1991	50.3	0.3
7/31/1991	50.6	0.6
8/31/1991	52.9	2.9
9/30/1991	54.9	4.9
10/31/1991	53.1	3.1
11/30/1991	49.5	-0.5
12/31/1991	46.8	-3.2
1/31/1992	47.3	-2.7
2/29/1992	52.7	2.7
3/31/1992	54.6	4.6
4/30/1992	52.6	2.6
5/31/1992	55.7	5.7
6/30/1992	53.6	3.6
7/31/1992	53.9	3.9
8/31/1992	53.4	3.4
9/30/1992	49.7	-0.3
10/31/1992	50.3	0.3
11/30/1992	53.6	3.6
12/31/1992	54.2	4.2
1/31/1993	55.8	5.8
2/28/1993	55.2	5.2
3/31/1993	53.5	3.5
4/30/1993	50.2	0.2
5/31/1993	51.2	1.2
6/30/1993	49.6	-0.4
7/31/1993	50.2	0.2
8/31/1993	50.7	0.7
9/30/1993	50.8	0.8
10/31/1993	53.4	3.4
11/30/1993	53.8	3.8
12/31/1993	55.6	5.6
1/31/1994	56	6
2/28/1994	56.5	6.5
3/31/1994	56.9	6.9
4/30/1994	57.4	7.4
5/31/1994	58.2	8.2
6/30/1994	58.8	8.8
7/31/1994	58.5	8.5
8/31/1994	58	8
9/30/1994	59	9
10/31/1994	59.4	9.4
11/30/1994	59.2	9.2
12/31/1994	56.1	6.1
1/31/1995	57.4	7.4
2/28/1995	55.1	5.1
3/31/1995	52.1	2.1
4/30/1995	51.5	1.5
5/31/1995	46.7	-3.3
6/30/1995	45.9	-4.1
7/31/1995	50.7	0.7
8/31/1995	47.1	-2.9
9/30/1995	48.1	-1.9
10/31/1995	46.7	-3.3
11/30/1995	45.9	-4.1
12/31/1995	46.2	-3.8
1/31/1996	45.5	-4.5
2/29/1996	45.9	-4.1
3/31/1996	46.9	-3.1
4/30/1996	49.3	-0.7
5/31/1996	49.1	-0.9
6/30/1996	53.6	3.6
7/31/1996	49.7	-0.3
8/31/1996	51.6	1.6
9/30/1996	51.1	1.1
10/31/1996	50.5	0.5
11/30/1996	53	3
12/31/1996	55.2	5.2
1/31/1997	53.8	3.8
2/28/1997	53.1	3.1
3/31/1997	53.8	3.8
4/30/1997	53.7	3.7
5/31/1997	56.1	6.1
6/30/1997	54.9	4.9
7/31/1997	57.7	7.7
8/31/1997	56.3	6.3
9/30/1997	53.9	3.9
10/31/1997	56.4	6.4
11/30/1997	55.7	5.7
12/31/1997	54.5	4.5
1/31/1998	53.8	3.8
2/28/1998	52.9	2.9
3/31/1998	52.9	2.9
4/30/1998	52.2	2.2
5/31/1998	50.9	0.9
6/30/1998	48.9	-1.1
7/31/1998	49.2	-0.8
8/31/1998	49.3	-0.7
9/30/1998	48.7	-1.3
10/31/1998	48.7	-1.3
11/30/1998	48.2	-1.8
12/31/1998	46.8	-3.2
1/31/1999	50.6	0.6
2/28/1999	51.7	1.7
3/31/1999	52.4	2.4
4/30/1999	52.3	2.3
5/31/1999	54.3	4.3
6/30/1999	55.8	5.8
7/31/1999	53.6	3.6
8/31/1999	54.8	4.8
9/30/1999	57	7
10/31/1999	57.2	7.2
11/30/1999	58.1	8.1
12/31/1999	57.8	7.8
1/31/2000	56.7	6.7
2/29/2000	55.8	5.8
3/31/2000	54.9	4.9
4/30/2000	54.7	4.7
5/31/2000	53.2	3.2
6/30/2000	51.4	1.4
7/31/2000	52.5	2.5
8/31/2000	49.9	-0.1
9/30/2000	49.7	-0.3
10/31/2000	48.7	-1.3
11/30/2000	48.5	-1.5
12/31/2000	43.9	-6.1
1/31/2001	42.3	-7.7
2/28/2001	42.1	-7.9
3/31/2001	43.1	-6.9
4/30/2001	42.7	-7.3
5/31/2001	41.3	-8.7
6/30/2001	43.2	-6.8
7/31/2001	43.5	-6.5
8/31/2001	46.3	-3.7
9/30/2001	46.2	-3.8
10/31/2001	40.8	-9.2
11/30/2001	44.1	-5.9
12/31/2001	45.3	-4.7
1/31/2002	47.5	-2.5
2/28/2002	50.7	0.7
3/31/2002	52.4	2.4
4/30/2002	52.4	2.4
5/31/2002	53.1	3.1
6/30/2002	53.6	3.6
7/31/2002	50.2	0.2
8/31/2002	50.3	0.3
9/30/2002	50.5	0.5
10/31/2002	49	-1
11/30/2002	48.5	-1.5
12/31/2002	51.6	1.6
1/31/2003	51.3	1.3
2/28/2003	48.8	-1.2
3/31/2003	46.3	-3.7
4/30/2003	46.1	-3.9
5/31/2003	49	-1
6/30/2003	49	-1
7/31/2003	51	1
8/31/2003	53.2	3.2
9/30/2003	52.4	2.4
10/31/2003	55.2	5.2
11/30/2003	58.4	8.4
12/31/2003	60.1	10.1
1/31/2004	60.8	10.8
2/29/2004	59.9	9.9
3/31/2004	60.6	10.6
4/30/2004	60.6	10.6
5/31/2004	61.4	11.4
6/30/2004	60.5	10.5
7/31/2004	59.9	9.9
8/31/2004	58.5	8.5
9/30/2004	57.4	7.4
10/31/2004	56.3	6.3
11/30/2004	56.2	6.2
12/31/2004	57.2	7.2
1/31/2005	56.8	6.8
2/28/2005	55.5	5.5
3/31/2005	55.2	5.2
4/30/2005	52.2	2.2
5/31/2005	50.8	0.8
6/30/2005	52.4	2.4
7/31/2005	52.8	2.8
8/31/2005	52.4	2.4
9/30/2005	56.8	6.8
10/31/2005	57.2	7.2
11/30/2005	56.7	6.7
12/31/2005	55.1	5.1
1/31/2006	55	5
2/28/2006	55.8	5.8
3/31/2006	54.3	4.3
4/30/2006	55.2	5.2
5/31/2006	53.7	3.7
6/30/2006	52	2
7/31/2006	53	3
8/31/2006	53.7	3.7
9/30/2006	52.2	2.2
10/31/2006	51.4	1.4
11/30/2006	50.3	0.3
12/31/2006	51.4	1.4
1/31/2007	50.4	0.4
2/28/2007	54.1	4.1
3/31/2007	52.8	2.8
4/30/2007	52.7	2.7
5/31/2007	53.1	3.1
6/30/2007	54	4
7/31/2007	51.8	1.8
8/31/2007	52.2	2.2
9/30/2007	53.8	3.8
10/31/2007	52.8	2.8
11/30/2007	51.5	1.5
12/31/2007	50.1	0.1
1/31/2008	50.9	0.9
2/29/2008	48.8	-1.2
3/31/2008	49.7	-0.3
4/30/2008	48.5	-1.5
5/31/2008	48.9	-1.1
6/30/2008	49.9	-0.1
7/31/2008	50.8	0.8
8/31/2008	50.1	0.1
9/30/2008	47.2	-2.8
10/31/2008	38.2	-11.8
11/30/2008	39	-11
12/31/2008	34.5	-15.5
1/31/2009	36.4	-13.6
2/28/2009	36.6	-13.4
3/31/2009	37.2	-12.8
4/30/2009	39.9	-10.1
5/31/2009	44.1	-5.9
6/30/2009	46.3	-3.7
7/31/2009	49.7	-0.3
8/31/2009	53.4	3.4
9/30/2009	54.9	4.9
10/31/2009	57.6	7.6
11/30/2009	55.4	5.4
12/31/2009	55.8	5.8
1/31/2010	56.3	6.3
2/28/2010	55.5	5.5
3/31/2010	58.8	8.8
4/30/2010	58.1	8.1
5/31/2010	57.4	7.4
6/30/2010	56.5	6.5
7/31/2010	56.1	6.1
8/31/2010	56.4	6.4
9/30/2010	55.3	5.3
10/31/2010	56.9	6.9
11/30/2010	57.3	7.3
12/31/2010	56.6	6.6
1/31/2011	59.1	9.1
2/28/2011	59.2	9.2
3/31/2011	58.4	8.4
4/30/2011	57.9	7.9
5/31/2011	54.8	4.8
6/30/2011	55.8	5.8
7/31/2011	52.9	2.9
8/31/2011	52.6	2.6
9/30/2011	53.7	3.7
10/31/2011	51.4	1.4
11/30/2011	51.8	1.8
12/31/2011	53	3
1/31/2012	53.2	3.2
2/29/2012	52.6	2.6
3/31/2012	53.5	3.5
4/30/2012	54.2	4.2
5/31/2012	52.6	2.6
6/30/2012	48.9	-1.1
7/31/2012	50.2	0.2
8/31/2012	49.4	-0.6
9/30/2012	51.2	1.2
10/31/2012	51	1
11/30/2012	49.1	-0.9
12/31/2012	50.4	0.4
1/31/2013	52.3	2.3
2/28/2013	53.5	3.5
3/31/2013	51.5	1.5
4/30/2013	50.4	0.4
5/31/2013	50.6	0.6
6/30/2013	50.8	0.8
7/31/2013	54.5	4.5
8/31/2013	54.8	4.8
9/30/2013	55	5
10/31/2013	55.1	5.1
11/30/2013	56.4	6.4
12/31/2013	56.6	6.6
1/31/2014	51.8	1.8
2/28/2014	54.4	4.4
3/31/2014	55.5	5.5
4/30/2014	55.9	5.9
5/31/2014	55.7	5.7
6/30/2014	54.9	4.9
7/31/2014	55.6	5.6
8/31/2014	56.8	6.8
9/30/2014	56.1	6.1
10/31/2014	56.6	6.6
11/30/2014	56.8	6.8
12/31/2014	55.6	5.6
1/31/2015	53.6	3.6
2/28/2015	52.7	2.7
3/31/2015	51.9	1.9
4/30/2015	51.9	1.9
5/31/2015	52.6	2.6
6/30/2015	52.6	2.6
7/31/2015	52.2	2.2
8/31/2015	50.4	0.4
9/30/2015	50.1	0.1
10/31/2015	49.3	-0.7
11/30/2015	49.5	-0.5
12/31/2015	48.8	-1.2
1/31/2016	47	-3
2/29/2016	49.1	-0.9
3/31/2016	51	1
4/30/2016	51	1
5/31/2016	51.3	1.3
6/30/2016	52.5	2.5
7/31/2016	52.5	2.5
8/31/2016	50	0
9/30/2016	51.2	1.2
10/31/2016	52	2
11/30/2016	53.4	3.4
12/31/2016	54.4	4.4
1/31/2017	55.3	5.3
2/28/2017	57.4	7.4
3/31/2017	56.4	6.4
4/30/2017	55.5	5.5
5/31/2017	56.4	6.4
6/30/2017	56.4	6.4
7/31/2017	56.8	6.8
8/31/2017	58.8	8.8
9/30/2017	59.9	9.9
10/31/2017	58.8	8.8
11/30/2017	58.1	8.1
12/31/2017	59.1	9.1
1/31/2018	59.2	9.2
2/28/2018	60.6	10.6
3/31/2018	58.9	8.9
4/30/2018	58.4	8.4
5/31/2018	59	9
6/30/2018	59.9	9.9
7/31/2018	58.2	8.2
8/31/2018	60.8	10.8
9/30/2018	59.3	9.3
10/31/2018	58.5	8.5
11/30/2018	58.8	8.8
12/31/2018	55	5
1/31/2019	55.5	5.5
2/28/2019	54.1	4.1
3/31/2019	54.6	4.6
4/30/2019	53.4	3.4
5/31/2019	52.3	2.3
6/30/2019	51.6	1.6
7/31/2019	51.3	1.3
8/31/2019	48.8	-1.2
9/30/2019	48.2	-1.8
10/31/2019	48.5	-1.5
11/30/2019	48.1	-1.9
12/31/2019	47.8	-2.2
1/31/2020	50.9	0.9
2/29/2020	50.1	0.1
3/31/2020	49.1	-0.9
4/30/2020	41.5	-8.5
5/31/2020	43.1	-6.9
6/30/2020	52.6	2.6
7/31/2020	54.2	4.2
8/31/2020	56	6
9/30/2020	55.4	5.4
10/31/2020	59.3	9.3
11/30/2020	57.5	7.5
12/31/2020	60.7	10.7
1/31/2021	58.7	8.7
2/28/2021	60.8	10.8
3/31/2021	64.7	14.7
4/30/2021	60.7	10.7
5/31/2021	61.2	11.2
6/30/2021	60.6	10.6
7/31/2021	59.5	9.5
